id,formula,material_system,is_metallic,dimensionality,db_temperature_c,corrected_temp_min_c,corrected_temp_max_c,temp_correction_note,score_sustainability,score_structural,score_sensory,score_novelty,score_recipe_confidence,score_composite,architectural_categories
C2Er1P2Ru4Y1,C2Er1P2Ru4Y1,metallic-other,True,3D,150,800,1300,too low: 150C → suggest 800-1300C,3.65,9.0,5.0,6.0,8.0,6.21,metallic/tension; luminescent
La2Mo2Nd2O20Se4,La2Mo2Nd2O20Se4,rare-earth-oxide,False,3D,800,900,1300,,5.83,6.0,8.5,5.0,8.0,6.71,translucent-potential; electronic/functional; colored
Ba4Ga4Ge1O14Si1,Ba4Ga4Ge1O14Si1,general-oxide,False,intercalated ion,1200,800,1200,,6.07,7.0,5.0,8.0,8.0,6.72,ceramic/compression; translucent-potential; electronic/functional; phase-change; IR-transparent
P1Pb6S1Y10,P1Pb6S1Y10,sulfide,False,3D,800,150,800,,7.08,9.0,3.0,4.0,8.0,6.37,metallic/tension; sulfide/lightweight
Mo12P1Sc8Si15,Mo12P1Sc8Si15,metallic-other,True,,1200,800,1300,,5.33,6.0,3.0,3.5,8.0,5.26,[]
Nd20Sn14Te2,Nd20Sn14Te2,metallic-other,True,3D,1000,800,1300,,5.04,6.0,7.0,3.5,8.0,5.99,translucent-potential
Er4Mn1Ni13,Er4Mn1Ni13,iron-alloy,True,3D,1100,1200,1500,,4.25,9.0,5.0,3.5,8.0,5.99,metallic/tension; luminescent
La8Sn6Y2,La8Sn6Y2,metallic-other,True,3D,1000,800,1300,,5.28,9.0,3.0,3.0,8.0,5.77,metallic/tension
La8Si16Sm4Tb8,La8Si16Sm4Tb8,metallic-other,True,3D,1200,800,1300,,5.17,9.0,5.0,4.0,8.0,6.29,metallic/tension; luminescent
Cd1Nb9Se16,Cd1Nb9Se16,metallic-other,True,3D,800,800,1300,,4.86,9.0,3.0,4.5,8.0,5.89,metallic/tension
P2Sn6Tm4Y6,P2Sn6Tm4Y6,metallic-other,True,3D,1200,800,1300,,5.08,6.0,3.0,4.5,8.0,5.35,[]
Ba3O9Tm3Y1,Ba3O9Tm3Y1,general-oxide,False,,800,800,1200,,5.87,6.0,3.0,4.5,8.0,5.54,[]
Ba3La1O24Sr4Ti8,Ba3La1O24Sr4Ti8,perovskite-BaTiO3,False,intercalated ion,1200,1100,1350,,5.6,9.0,4.0,7.0,8.0,6.65,metallic/tension; ceramic/compression; piezoelectric
Ni16P12Pr6Sc2,Ni16P12Pr6Sc2,iron-alloy,True,3D,1200,1200,1500,,4.5,6.0,5.0,4.0,8.0,5.53,luminescent
Fe6Mn11P12Tb4Ti3,Fe6Mn11P12Tb4Ti3,iron-alloy,True,3D,1200,1200,1500,,4.88,6.0,7.0,5.5,8.0,6.24,translucent-potential; luminescent
Bi2Ce2Co2Sb2,Bi2Ce2Co2Sb2,iron-alloy,True,3D,1000,1200,1500,,4.19,9.0,3.0,3.0,8.0,5.5,metallic/tension
Cu2K1Sb2Tb1,Cu2K1Sb2Tb1,copper-alloy,True,intercalated ion,1200,950,1100,,5.33,9.0,5.0,6.5,8.0,6.71,metallic/tension; luminescent
La6Nd8Ni6,La6Nd8Ni6,iron-alloy,True,3D,1200,1200,1500,,4.22,9.0,5.0,3.0,8.0,5.91,metallic/tension
In6Ni20P6Sn4,In6Ni20P6Sn4,iron-alloy,True,3D,300,1200,1500,too low: 300C → suggest 1200-1500C,4.62,9.0,3.0,3.5,8.0,5.68,metallic/tension
B4Co9Si2Tm3,B4Co9Si2Tm3,iron-alloy,True,3D,1500,1200,1500,,4.46,9.0,3.0,4.5,8.0,5.79,metallic/tension
Cu4Ga4Pa1Tb1,Cu4Ga4Pa1Tb1,copper-alloy,True,3D,800,950,1100,,4.71,9.0,5.0,4.5,8.0,6.25,metallic/tension; luminescent; phase-change
Na3Pr5Te8,Na3Pr5Te8,metallic-other,True,intercalated ion,800,800,1300,,2.56,9.0,5.0,7.0,8.0,6.09,metallic/tension; luminescent
O13Pb4W3Y1,O13Pb4W3Y1,general-oxide,False,,1200,800,1200,,6.1,6.0,3.0,4.0,8.0,5.52,[]
Fe7Ni13P13Zr6,Fe7Ni13P13Zr6,iron-alloy,True,3D,1200,1200,1500,,5.13,6.0,5.0,3.0,8.0,5.53,translucent-potential
Al19Ca1Ru4Si1Tb1,Al19Ca1Ru4Si1Tb1,aluminum-alloy,True,intercalated ion,950,660,900,,6.36,9.0,5.0,8.0,8.0,7.19,metallic/tension; luminescent
K2O12W4,K2O12W4,general-oxide,False,intercalated ion,200,800,1200,too low: 200C → suggest 800-1200C,6.33,6.0,3.0,5.0,8.0,5.73,electronic/functional
Co1Ni1Pb4Ti8,Co1Ni1Pb4Ti8,iron-alloy,True,3D,1200,1200,1500,,4.54,9.0,3.0,3.0,8.0,5.58,metallic/tension
Er1Li4O16Si4Y3,Er1Li4O16Si4Y3,rare-earth-oxide,False,intercalated ion,1000,900,1300,,5.96,8.0,8.5,7.5,8.0,7.51,ceramic/compression; translucent-potential; colored; luminescent
Ba3Mn4Ni2P6,Ba3Mn4Ni2P6,iron-alloy,True,intercalated ion,900,1200,1500,too low: 900C → suggest 1200-1500C,5.05,6.0,3.0,5.0,8.0,5.41,[]
Ga3Ru4Si1Tb3Tm1,Ga3Ru4Si1Tb3Tm1,metallic-other,True,3D,1000,800,1300,,2.94,6.0,5.0,7.0,8.0,5.58,luminescent; phase-change
Bi6O14Tb2,Bi6O14Tb2,rare-earth-oxide,False,3D,800,900,1300,,5.65,6.0,6.5,3.5,8.0,6.04,electronic/functional; colored; luminescent
Ba6Nb7O21,Ba6Nb7O21,general-oxide,False,intercalated ion,1200,800,1200,,6.23,9.0,3.0,6.0,8.0,6.46,metallic/tension
Si2Te26W4,Si2Te26W4,metallic-other,True,2D,800,800,1300,,1.5,6.0,3.0,5.5,8.0,4.6,[]
Bi4Ca10Pb2,Bi4Ca10Pb2,metallic-other,True,intercalated ion,900,800,1300,,5.94,9.0,3.0,5.0,8.0,6.23,metallic/tension
Ca4La4Ru4Y2,Ca4La4Ru4Y2,metallic-other,True,intercalated ion,1200,800,1300,,4.14,9.0,3.0,5.5,8.0,5.86,metallic/tension
Cu1Ni3Y4,Cu1Ni3Y4,copper-alloy,True,3D,1200,950,1100,,5.46,9.0,3.0,3.0,8.0,5.81,metallic/tension
Er9In2Sb4Tb1,Er9In2Sb4Tb1,metallic-other,True,3D,1200,800,1300,,3.97,9.0,5.0,4.5,8.0,6.07,metallic/tension; luminescent
Nb2O24P6V2,Nb2O24P6V2,general-oxide,False,,900,800,1200,,6.49,6.0,4.5,3.0,8.0,5.77,[]
Co1Ga4Ni1Tm2,Co1Ga4Ni1Tm2,iron-alloy,True,3D,1100,1200,1500,,3.44,9.0,3.0,4.0,8.0,5.46,metallic/tension; phase-change
B4Co4Mo3W1,B4Co4Mo3W1,iron-alloy,True,,1500,1200,1500,,4.5,6.0,3.0,3.0,8.0,4.97,[]
Be8C2Co4Mo2W10,Be8C2Co4Mo2W10,iron-alloy,True,intercalated ion,1400,1200,1500,,3.08,6.0,3.0,7.5,8.0,5.29,[]
As1Pr18Si15Sm2,As1Pr18Si15Sm2,metallic-other,True,3D,1000,800,1300,,4.69,9.0,5.0,4.5,8.0,6.25,metallic/tension; luminescent
Ag2Cd21P1Pr6,Ag2Cd21P1Pr6,metallic-other,True,3D,800,800,1300,,2.07,9.0,5.0,4.5,8.0,5.59,metallic/tension; luminescent
Er2Ga3Ge1Pr4,Er2Ga3Ge1Pr4,metallic-other,True,3D,1200,800,1300,,3.8,9.0,5.0,5.0,8.0,6.1,metallic/tension; luminescent; phase-change
Fe2P12Ru17Y5,Fe2P12Ru17Y5,iron-alloy,True,3D,1200,1200,1500,,2.46,9.0,3.0,3.5,8.0,5.14,metallic/tension
Pa6Sb3Sn7Zr2,Pa6Sb3Sn7Zr2,metallic-other,True,3D,240,800,1300,too low: 240C → suggest 800-1300C,4.62,9.0,3.0,3.5,8.0,5.68,metallic/tension
As1Er20Si15,As1Er20Si15,metallic-other,True,3D,150,800,1300,too low: 150C → suggest 800-1300C,4.69,9.0,5.0,4.0,8.0,6.17,metallic/tension; luminescent
Er12Pb16Sm7Tb1,Er12Pb16Sm7Tb1,metallic-other,True,3D,1200,800,1300,,4.17,6.0,7.0,4.5,8.0,5.92,translucent-potential; luminescent
Er5Ni4Tb3Tm4,Er5Ni4Tb3Tm4,iron-alloy,True,3D,1200,1200,1500,,3.06,9.0,5.0,4.5,8.0,5.84,metallic/tension; luminescent
Eu2In1O1Pr1,Eu2In1O1Pr1,rare-earth-oxide,False,3D,900,900,1300,,4.08,9.0,8.0,4.5,8.0,6.7,metallic/tension; colored; luminescent
Mo12Si16Sr1Tm7,Mo12Si16Sr1Tm7,metallic-other,True,,1200,800,1300,,5.4,6.0,3.0,3.5,8.0,5.27,[]
Al1Li3Pr3Sb2,Al1Li3Pr3Sb2,aluminum-alloy,True,intercalated ion,800,660,900,,5.82,6.0,5.0,6.5,8.0,6.23,luminescent
Ca6Li16Pb8,Ca6Li16Pb8,metallic-other,True,intercalated ion,800,800,1300,,5.7,6.0,3.0,5.0,8.0,5.58,[]
B4Mn1Nb5Ru9Ti1,B4Mn1Nb5Ru9Ti1,metallic-other,True,3D,1500,800,1300,,3.2,9.0,3.0,5.5,8.0,5.62,metallic/tension
Co16Sc4Si12V4,Co16Sc4Si12V4,iron-alloy,True,3D,1300,1200,1500,,4.67,9.0,3.0,3.5,8.0,5.69,metallic/tension
As6Co16Nb2P6Zr6,As6Co16Nb2P6Zr6,iron-alloy,True,3D,1200,1200,1500,,4.08,9.0,3.0,5.5,8.0,5.85,metallic/tension
B16Ge2Si2Tm2Y8,B16Ge2Si2Tm2Y8,metallic-other,True,3D,1200,800,1300,,5.35,9.0,3.0,6.0,8.0,6.24,metallic/tension
Er1Gd1Nd2O18Se6,Er1Gd1Nd2O18Se6,rare-earth-oxide,False,3D,900,900,1300,,5.69,6.0,8.0,6.0,8.0,6.72,colored; luminescent
Pa2Te8,Pa2Te8,metallic-other,True,3D,800,800,1300,,1.5,9.0,3.0,5.0,8.0,5.12,metallic/tension
Ag1Nd20Si15,Ag1Nd20Si15,metallic-other,True,3D,1200,800,1300,,5.6,6.0,5.0,3.5,8.0,5.73,[]
Li8Sb2Sn6Y8,Li8Sb2Sn6Y8,metallic-other,True,intercalated ion,800,800,1300,,5.44,9.0,3.0,5.0,8.0,6.11,metallic/tension
Eu6O14Pb2,Eu6O14Pb2,rare-earth-oxide,False,3D,800,900,1300,,5.38,9.0,6.5,3.5,8.0,6.57,metallic/tension; colored; luminescent
Co4Er10Ru1Sn1Tm2,Co4Er10Ru1Sn1Tm2,iron-alloy,True,3D,1200,1200,1500,,2.96,9.0,5.0,6.5,8.0,6.11,metallic/tension; luminescent
O10P2Pa1Sb1,O10P2Pa1Sb1,general-oxide,False,,1200,800,1200,,6.29,6.0,3.0,3.5,8.0,5.5,[]
La7Li12O48Tb5W8,La7Li12O48Tb5W8,rare-earth-oxide,False,intercalated ion,1000,900,1300,,5.75,6.0,6.5,7.5,8.0,6.66,colored; luminescent
Al1Ni1Sb4Sn2Zr10,Al1Ni1Sb4Sn2Zr10,iron-alloy,True,3D,800,1200,1500,too low: 800C → suggest 1200-1500C,4.62,9.0,3.0,5.0,8.0,5.91,metallic/tension
Bi8Co4Er14Tb6,Bi8Co4Er14Tb6,iron-alloy,True,3D,1200,1200,1500,,3.16,9.0,5.0,4.0,8.0,5.79,metallic/tension; luminescent
Co1Fe3Zn1Zr1,Co1Fe3Zn1Zr1,iron-alloy,True,3D,1200,1200,1500,,5.12,9.0,3.0,4.0,8.0,5.88,metallic/tension
Eu16Li4Ni4,Eu16Li4Ni4,iron-alloy,True,intercalated ion,800,1200,1500,too low: 800C → suggest 1200-1500C,3.25,6.0,5.0,5.5,8.0,5.44,luminescent
Bi1Co4Er6Gd6Ru1,Bi1Co4Er6Gd6Ru1,iron-alloy,True,3D,1200,1200,1500,,2.92,6.0,5.0,6.5,8.0,5.5,luminescent
Ca2Cd1In1Ni4,Ca2Cd1In1Ni4,iron-alloy,True,3D,800,1200,1500,too low: 800C → suggest 1200-1500C,4.19,9.0,3.0,4.0,8.0,5.65,metallic/tension
Er8Ga14Sc12Si2,Er8Ga14Sc12Si2,metallic-other,True,3D,1200,800,1300,,3.96,9.0,5.0,4.5,8.0,6.06,metallic/tension; luminescent; phase-change
La4Li1Si6Zn1,La4Li1Si6Zn1,metallic-other,True,intercalated ion,1200,800,1300,,5.88,9.0,3.0,5.0,8.0,6.22,metallic/tension
Er1Nb2O8Y1,Er1Nb2O8Y1,rare-earth-oxide,False,,1000,900,1300,,5.71,6.0,6.5,3.5,8.0,6.05,colored; luminescent
Na1Nb8Sb1Se16,Na1Nb8Sb1Se16,metallic-other,True,intercalated ion,800,800,1300,,5.06,9.0,3.0,6.0,8.0,6.16,metallic/tension
Co4Er7Y5,Co4Er7Y5,iron-alloy,True,3D,100,1200,1500,too low: 100C → suggest 1200-1500C,3.53,9.0,5.0,3.5,8.0,5.81,metallic/tension; luminescent
La1Nb6Nd1S12,La1Nb6Nd1S12,sulfide,False,,1000,150,800,too high: 1000C → suggest 150-800C,7.82,6.0,5.0,4.0,8.0,6.35,sulfide/lightweight
Bi12Er8Tm3Y9,Bi12Er8Tm3Y9,metallic-other,True,3D,1200,800,1300,,4.48,9.0,5.0,4.0,8.0,6.12,metallic/tension; luminescent
Be8Fe1V2W1,Be8Fe1V2W1,iron-alloy,True,intercalated ion,1000,1200,1500,,1.62,9.0,3.0,6.5,8.0,5.38,metallic/tension
Pb5Sn1Zn2Zr10,Pb5Sn1Zn2Zr10,metallic-other,True,,400,800,1300,too low: 400C → suggest 800-1300C,5.54,6.0,3.0,3.0,8.0,5.24,[]
Er3Pb16Pr17,Er3Pb16Pr17,metallic-other,True,3D,800,800,1300,,4.17,9.0,5.0,4.0,8.0,6.04,metallic/tension; luminescent
Ca2La1O14Pr1Ru4,Ca2La1O14Pr1Ru4,rare-earth-oxide,False,intercalated ion,1200,900,1300,,5.04,9.0,6.5,8.0,8.0,7.16,metallic/tension; ceramic/compression; colored; luminescent
Bi4Cd1La1Li1Tb1,Bi4Cd1La1Li1Tb1,metallic-other,True,intercalated ion,1000,800,1300,,4.44,9.0,5.0,8.0,8.0,6.71,metallic/tension; luminescent
Bi4Li8Nd6Pr2Sn4,Bi4Li8Nd6Pr2Sn4,metallic-other,True,intercalated ion,800,800,1300,,5.25,9.0,5.0,7.5,8.0,6.84,metallic/tension; luminescent
As4Co16Na2Nb6P8,As4Co16Na2Nb6P8,iron-alloy,True,intercalated ion,800,1200,1500,too low: 800C → suggest 1200-1500C,4.33,6.0,3.0,7.5,8.0,5.61,[]
B4Be2Co9Tm2Y1,B4Be2Co9Tm2Y1,iron-alloy,True,intercalated ion,1200,1200,1500,,3.96,6.0,3.0,9.0,8.0,5.74,[]
Er6In5Sb1Sc4,Er6In5Sb1Sc4,metallic-other,True,3D,1000,800,1300,,3.83,9.0,5.0,4.5,8.0,6.03,metallic/tension; luminescent
Nd4Pr2Sn6Tm4,Nd4Pr2Sn6Tm4,metallic-other,True,3D,1200,800,1300,,4.72,9.0,5.0,4.0,8.0,6.18,metallic/tension; luminescent
Bi4Nd10Pb2,Bi4Nd10Pb2,metallic-other,True,3D,800,800,1300,,5.0,9.0,5.0,3.0,8.0,6.1,metallic/tension
Fe2Mo2O32P8Pb4,Fe2Mo2O32P8Pb4,iron-oxide,False,3D,950,800,1200,,6.48,6.0,4.5,5.0,8.0,6.07,colored
La4Nd1Se4Si1,La4Nd1Se4Si1,metallic-other,True,3D,1200,800,1300,,5.15,9.0,5.0,3.0,8.0,6.14,metallic/tension
B4Ca4Er2O16Tb2,B4Ca4Er2O16Tb2,rare-earth-oxide,False,intercalated ion,1200,900,1300,,5.8,6.0,10.0,8.0,8.0,7.45,ceramic/compression; translucent-potential; colored; luminescent
Al12Rb4Se20,Al12Rb4Se20,aluminum-alloy,True,intercalated ion,800,660,900,,6.15,6.0,5.0,5.5,8.0,6.16,translucent-potential; electronic/functional
Bi8Na16Ti2,Bi8Na16Ti2,metallic-other,True,intercalated ion,800,800,1300,,5.98,6.0,3.0,5.0,8.0,5.65,[]
Cd2Er2In8Tb4,Cd2Er2In8Tb4,metallic-other,True,3D,800,800,1300,,3.59,9.0,5.0,5.0,8.0,6.05,metallic/tension; luminescent
