id,formula,elements,family,family_reason,metal_sub_family,metal_supplier,alloy_validation,batch_size_g,max_workshop_g,scale_limit_reason,ingredients,firing_schedule,estimated_cost_eur,confidence,confidence_reason,warnings,safety_flags,db_temp_c,crystal_system,space_group,bandgap_ev
Be2Co7Tm3,Be2Co7Tm3,,excluded_toxic,toxic element in metallic context,,,,,,,,,,EXCLUDED,,,,,,,
B24Ca1Ru4Y7,B24Ca1Ru4Y7,"{""B"": 24, ""Ca"": 1, ""Ru"": 4, ""Y"": 7}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""B"", ""precursor"": ""B"", ""name"": ""boron powder"", ""mass_g"": 39.3, ""safety"": ""SAFE"", ""supplier"": """"}, {""element"": ""Ca"", ""precursor"": ""Ca"", ""name"": ""calcium granules"", ""mass_g"": 6.1, ""safety"": ""MODERATE"", ""supplier"": ""reacts with water""}, {""element"": ""Y"", ""precursor"": ""Y"", ""name"": ""yttrium metal"", ""mass_g"": 94.2, ""safety"": ""MODERATE"", ""supplier"": """"}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",8.95,MEDIUM,standard template applied,no precursor data for element Ru,Ca: MODERATE — reacts with water; Y: MODERATE — ,1200,monoclinic,Pm,0.0118
Ga4Li1Ru3Sm4,Ga4Li1Ru3Sm4,"{""Ga"": 4, ""Li"": 1, ""Ru"": 3, ""Sm"": 4}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Ga"", ""precursor"": ""Ga"", ""name"": ""gallium metal"", ""mass_g"": 47.0, ""safety"": ""DANGEROUS"", ""supplier"": ""EXPENSIVE, China controlled""}, {""element"": ""Li"", ""precursor"": ""Li2CO3"", ""name"": ""lithium carbonate (NEVER elemental Li)"", ""mass_g"": 6.2, ""safety"": ""SAFE"", ""supplier"": ""laborladen; NEVER use Li metal""}, {""element"": ""Sm"", ""precursor"": ""Sm"", ""name"": ""samarium metal"", ""mass_g"": 101.3, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",7.97,MEDIUM,"4 elements, 2 rare; template applicable",no precursor data for element Ru,"Ga: DANGEROUS — EXPENSIVE, China controlled; Sm: DANGEROUS — expensive",1200,monoclinic,Pm,0.0058
Ag1Ga2In1Mg2Y3,Ag1Ga2In1Mg2Y3,"{""Ag"": 1, ""Ga"": 2, ""In"": 1, ""Mg"": 2, ""Y"": 3}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Ag"", ""precursor"": ""Ag"", ""name"": ""silver metal"", ""mass_g"": 31.8, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""Ga"", ""precursor"": ""Ga"", ""name"": ""gallium metal"", ""mass_g"": 41.2, ""safety"": ""DANGEROUS"", ""supplier"": ""EXPENSIVE, China controlled""}, {""element"": ""In"", ""precursor"": ""In"", ""name"": ""indium metal"", ""mass_g"": 33.9, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""Mg"", ""precursor"": ""Mg"", ""name"": ""magnesium powder"", ""mass_g"": 14.4, ""safety"": ""MODERATE"", ""supplier"": ""flammable dust""}, {""element"": ""Y"", ""precursor"": ""Y"", ""name"": ""yttrium metal"", ""mass_g"": 78.7, ""safety"": ""MODERATE"", ""supplier"": """"}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",9.42,LOW,"3 rare elements, speculative composition",[],"Ag: DANGEROUS — expensive; Ga: DANGEROUS — EXPENSIVE, China controlled; In: DANGEROUS — expensive; Mg: MODERATE — flammable dust; Y: MODERATE — ",750,orthorhombic,Amm2,0.0044
Al2Cs4Ga2Ge4Se16,Al2Cs4Ga2Ge4Se16,"{""Al"": 2, ""Cs"": 4, ""Ga"": 2, ""Ge"": 4, ""Se"": 16}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Al"", ""precursor"": ""Al"", ""name"": ""aluminum powder"", ""mass_g"": 4.7, ""safety"": ""MODERATE"", ""supplier"": ""dust explosion hazard, no open flame""}, {""element"": ""Ga"", ""precursor"": ""Ga"", ""name"": ""gallium metal"", ""mass_g"": 12.2, ""safety"": ""DANGEROUS"", ""supplier"": ""EXPENSIVE, China controlled""}, {""element"": ""Ge"", ""precursor"": ""Ge"", ""name"": ""germanium metal"", ""mass_g"": 25.5, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",1.92,EXCLUDED,Cs: EXCLUDED — no safe form; no precursor data for element Se,Cs: EXCLUDED — no safe form; no precursor data for element Se; contains EXCLUDED element; recipe not fully realizable,"Al: MODERATE — dust explosion hazard, no open flame; Ga: DANGEROUS — EXPENSIVE, China controlled; Ge: DANGEROUS — expensive",800,monoclinic,P2_1,
Co12Ni8P12Tb4,Co12Ni8P12Tb4,"{""Co"": 12, ""Ni"": 8, ""P"": 12, ""Tb"": 4}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Co"", ""precursor"": ""Co"", ""name"": ""cobalt powder"", ""mass_g"": 64.8, ""safety"": ""MODERATE"", ""supplier"": ""IARC 2B, N95""}, {""element"": ""Ni"", ""precursor"": ""Ni"", ""name"": ""nickel shot/powder"", ""mass_g"": 43.0, ""safety"": ""DANGEROUS"", ""supplier"": ""IARC Group 1, N95""}, {""element"": ""P"", ""precursor"": ""Fe3P"", ""name"": ""ferrophosphorus (liquid-phase sintering aid)"", ""mass_g"": 218.1, ""safety"": ""SAFE"", ""supplier"": ""never use elemental P — flammable""}, {""element"": ""Tb"", ""precursor"": ""Tb"", ""name"": ""terbium metal"", ""mass_g"": 58.2, ""safety"": ""DANGEROUS"", ""supplier"": ""EXTREME COST""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",10.48,MEDIUM,"4 elements, 1 rare; template applicable",[],"Co: MODERATE — IARC 2B, N95; Ni: DANGEROUS — IARC Group 1, N95; Tb: DANGEROUS — EXTREME COST",1200,orthorhombic,Pnma,0.0023
Bi8Ga4Tb13Y7,Bi8Ga4Tb13Y7,"{""Bi"": 8, ""Ga"": 4, ""Tb"": 13, ""Y"": 7}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Bi"", ""precursor"": ""Bi"", ""name"": ""bismuth metal"", ""mass_g"": 72.1, ""safety"": ""SAFE"", ""supplier"": ""low-temp alloy use""}, {""element"": ""Ga"", ""precursor"": ""Ga"", ""name"": ""gallium metal"", ""mass_g"": 12.0, ""safety"": ""DANGEROUS"", ""supplier"": ""EXPENSIVE, China controlled""}, {""element"": ""Tb"", ""precursor"": ""Tb"", ""name"": ""terbium metal"", ""mass_g"": 89.1, ""safety"": ""DANGEROUS"", ""supplier"": ""EXTREME COST""}, {""element"": ""Y"", ""precursor"": ""Y"", ""name"": ""yttrium metal"", ""mass_g"": 26.8, ""safety"": ""MODERATE"", ""supplier"": """"}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",8.56,MEDIUM,"4 elements, 2 rare; template applicable",[],"Ga: DANGEROUS — EXPENSIVE, China controlled; Tb: DANGEROUS — EXTREME COST; Y: MODERATE — ",1200,monoclinic,Pm,0.0012
B2Cu5Nd1Ni8Sr2,B2Cu5Nd1Ni8Sr2,"{""B"": 2, ""Cu"": 5, ""Nd"": 1, ""Ni"": 8, ""Sr"": 2}",metal_pm_only,"Fe/Ni/Co-dominant, needs PM sintering (mp > kiln)",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""B"", ""precursor"": ""B"", ""name"": ""boron powder"", ""mass_g"": 3.8, ""safety"": ""SAFE"", ""supplier"": """"}, {""element"": ""Cu"", ""precursor"": ""Cu"", ""name"": ""copper shot/powder"", ""mass_g"": 56.3, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}, {""element"": ""Nd"", ""precursor"": ""Nd"", ""name"": ""neodymium metal"", ""mass_g"": 25.6, ""safety"": ""MODERATE"", ""supplier"": ""expensive""}, {""element"": ""Ni"", ""precursor"": ""Ni"", ""name"": ""nickel shot/powder"", ""mass_g"": 83.2, ""safety"": ""DANGEROUS"", ""supplier"": ""IARC Group 1, N95""}, {""element"": ""Sr"", ""precursor"": ""SrCO3"", ""name"": ""strontium carbonate (NEVER Sr metal)"", ""mass_g"": 52.3, ""safety"": ""SAFE"", ""supplier"": """"}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",8.35,MEDIUM,"5 elements, 1 rare; template applicable",[],"Nd: MODERATE — expensive; Ni: DANGEROUS — IARC Group 1, N95",1200,orthorhombic,Cmmm,0.0032
Nb8S16Zr2,Nb8S16Zr2,"{""Nb"": 8, ""S"": 16, ""Zr"": 2}",sulfide_other,general sulfide,,,,200,500,conservative default for unknown family,"[{""element"": ""Nb"", ""precursor"": ""Nb2O5"", ""name"": ""niobium pentoxide"", ""mass_g"": 147.8, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich""}, {""element"": ""Zr"", ""precursor"": ""ZrO2"", ""name"": ""zirconium dioxide"", ""mass_g"": 34.3, ""safety"": ""SAFE"", ""supplier"": ""Fisher Scientific""}, {""element"": ""S"", ""precursor"": ""S"", ""name"": ""elemental sulfur"", ""mass_g"": 71.3, ""safety"": ""MODERATE"", ""supplier"": ""garden supply (Schwefelblüte) ~€5/kg""}]","{""peak_c"": null, ""why"": ""no template""}",31.97,MEDIUM,standard template applied,no precursor data for element S,Nb2O5: MODERATE — Sigma-Aldrich; S: MODERATE — garden supply (Schwefelblüte) ~€5/kg,800,hexagonal,P6_3/mmc,
Ag5La1Zn7,Ag5La1Zn7,"{""Ag"": 5, ""La"": 1, ""Zn"": 7}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Ag"", ""precursor"": ""Ag"", ""name"": ""silver metal"", ""mass_g"": 95.0, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""La"", ""precursor"": ""La"", ""name"": ""lanthanum metal"", ""mass_g"": 24.5, ""safety"": ""MODERATE"", ""supplier"": """"}, {""element"": ""Zn"", ""precursor"": ""Zn"", ""name"": ""zinc ingot/powder"", ""mass_g"": 80.6, ""safety"": ""MODERATE"", ""supplier"": ""evaporates >907°C""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",6.38,MEDIUM,"3 elements, 1 rare; template applicable",[],Ag: DANGEROUS — expensive; La: MODERATE — ; Zn: MODERATE — evaporates >907°C,850,orthorhombic,Imm2,
Cu1Ge3La2Mg3Zn2,Cu1Ge3La2Mg3Zn2,"{""Cu"": 1, ""Ge"": 3, ""La"": 2, ""Mg"": 3, ""Zn"": 2}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Cu"", ""precursor"": ""Cu"", ""name"": ""copper shot/powder"", ""mass_g"": 16.7, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}, {""element"": ""Ge"", ""precursor"": ""Ge"", ""name"": ""germanium metal"", ""mass_g"": 57.1, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""La"", ""precursor"": ""La"", ""name"": ""lanthanum metal"", ""mass_g"": 72.8, ""safety"": ""MODERATE"", ""supplier"": """"}, {""element"": ""Mg"", ""precursor"": ""Mg"", ""name"": ""magnesium powder"", ""mass_g"": 19.1, ""safety"": ""MODERATE"", ""supplier"": ""flammable dust""}, {""element"": ""Zn"", ""precursor"": ""Zn"", ""name"": ""zinc ingot/powder"", ""mass_g"": 34.3, ""safety"": ""MODERATE"", ""supplier"": ""evaporates >907°C""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",7.36,MEDIUM,"5 elements, 1 rare; template applicable",[],Ge: DANGEROUS — expensive; La: MODERATE — ; Mg: MODERATE — flammable dust; Zn: MODERATE — evaporates >907°C,800,orthorhombic,Amm2,0.0007
Eu1Li4Nd3O16Sr8,Eu1Li4Nd3O16Sr8,"{""Eu"": 1, ""Li"": 4, ""Nd"": 3, ""O"": 16, ""Sr"": 8}",rare_earth_oxide,rare-earth-containing oxide ceramic,,,,100,300,rare-earth cost; keep batches small,"[{""element"": ""Eu"", ""precursor"": ""Eu2O3"", ""name"": ""europium oxide"", ""mass_g"": 11.2, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich; expensive""}, {""element"": ""Li"", ""precursor"": ""Li2CO3"", ""name"": ""lithium carbonate"", ""mass_g"": 9.4, ""safety"": ""SAFE"", ""supplier"": ""laborladen €44.90/500g""}, {""element"": ""Nd"", ""precursor"": ""Nd2O3"", ""name"": ""neodymium oxide"", ""mass_g"": 32.2, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich""}, {""element"": ""Sr"", ""precursor"": ""SrCO3"", ""name"": ""strontium carbonate"", ""mass_g"": 75.3, ""safety"": ""SAFE"", ""supplier"": ""Keramik-Kraft""}]","{""calcine_c"": 900, ""calcine_h"": 2, ""sinter_c"": 1200, ""sinter_range_c"": [1100, 1300], ""sinter_h"": 4, ""ramp"": ""3°C/min""}",25.29,MEDIUM,"5 elements, 2 rare; template applicable",[],Eu2O3: MODERATE — Sigma-Aldrich; expensive; Nd2O3: MODERATE — Sigma-Aldrich,1000,monoclinic,Pm,0.0108
