id,formula,reduced_formula,elements,n_elements,temperature,duration_hours,heating_rate,cooling_method,density,crystal_system,space_group,bandgap,bandgap_type,formation_energy,decomposition_energy,categories,safety_flags,tier_score
B2Co3Cu7La3Ni3,B2Co3Cu7La3Ni3,La3Co3Cu7Ni3B2,B; Co; Ni; Cu; La,5,1200,2,,natural,80801.0,hexagonal,P6mm,0.0036,semiconductor,-2945.0,-161.0,tension-capable; thermal-mass,"Cobalt — dust inhalation risk. Common in blue glazes.; Nickel — dust inhalation risk, skin sensitizer.",1
Al6Fe12Mo1Ti5,Al6Fe12Mo1Ti5,Ti5Al6Fe12Mo,Al; Ti; Fe; Mo,4,1200,1,,natural,65194.0,orthorhombic,Pmmm,0.0012,semiconductor,-4349.0,-208.0,tension-capable; thermal-mass; refractory,[],0
Ba4Nb4O18Sr4,Ba4Nb4O18Sr4,Ba2Sr2Nb2O9,O; Sr; Nb; Ba,4,800,4,,natural,5153.0,hexagonal,P6_3,3.5382,semiconductor,-32774.0,-52.0,thermal-mass; translucent-potential,Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.,1
Mo1Si16V11Zr8,Mo1Si16V11Zr8,Zr8V11Si16Mo,Si; V; Zr; Mo,4,1200,2,,natural,5578.0,monoclinic,Pm,0.0012,semiconductor,-7785.0,-753.0,compression-strong; thermal-mass; refractory,Vanadium — some compounds toxic; V₂O₅ requires care.,1
Mg1Sn1Zr6,Mg1Sn1Zr6,MgZr6Sn,Mg; Zr; Sn,3,800,,,natural,64098.0,cubic,Fm-3m,0.0103,semiconductor,-2041.0,-131.0,thermal-mass,[],0
Fe6Mg2Ni6P7,Fe6Mg2Ni6P7,Mg2Fe6Ni6P7,Mg; P; Fe; Ni,4,900,2,,natural,63557.0,hexagonal,P-6,0.0032,semiconductor,-5633.0,-267.0,tension-capable; thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",0
K12Li8P12V4,K12Li8P12V4,K3Li2VP3,Li; P; K; V,4,800,4,,natural,21771.0,orthorhombic,Cmce,inf,semiconductor,-5639.0,-406.0,thermal-mass; translucent-potential,Vanadium — some compounds toxic; V₂O₅ requires care.,1
Co16Li2P12Zr6,Co16Li2P12Zr6,LiZr3(Co4P3)2,Li; P; Co; Zr,4,1200,2,,natural,68891.0,orthorhombic,Amm2,0.0059,semiconductor,-9615.0,-302.0,thermal-mass; refractory,Cobalt — dust inhalation risk. Common in blue glazes.,0
Bi2Si1Zr6,Bi2Si1Zr6,Zr6SiBi2,Si; Zr; Bi,3,1200,2,,natural,80654.0,hexagonal,P-62m,0.0144,semiconductor,-5139.0,-711.0,compression-strong; thermal-mass; refractory,[],0
P4Se4Ti24,P4Se4Ti24,Ti6PSe,P; Ti; Se,3,800,4,10,natural,51989.0,tetragonal,P4_2,0.0006,semiconductor,-8037.0,-35.0,thermal-mass,Selenium — fumes toxic; good ventilation required.,1
Bi4O26W8,Bi4O26W8,Bi2W4O13,O; W; Bi,3,800,4,,natural,77001.0,monoclinic,P2_1/m,,semiconductor,-20453.0,-141.0,thermal-mass,[],0
Co8Ni12P12Y4,Co8Ni12P12Y4,YCo2(NiP)3,P; Co; Ni; Y,4,1200,2,,natural,70281.0,orthorhombic,Pnma,inf,semiconductor,-837.0,-13.0,thermal-mass; translucent-potential,"Cobalt — dust inhalation risk. Common in blue glazes.; Nickel — dust inhalation risk, skin sensitizer.",1
Ce2Ni11P7W1,Ce2Ni11P7W1,Ce2Ni11P7W,P; Ni; Ce; W,4,1200,2,,natural,82053.0,monoclinic,Pm,0.0024,semiconductor,-7463.0,-142.0,tension-capable; thermal-mass; refractory,"Nickel — dust inhalation risk, skin sensitizer.",0
Cu1Sb6Si1Ti10,Cu1Sb6Si1Ti10,Ti10CuSiSb6,Si; Ti; Cu; Sb,4,1000,2,,natural,67393.0,trigonal,P-31m,,semiconductor,-6185.0,-142.0,compression-strong; thermal-mass; refractory,[],1
Co8Ni6P8Y4,Co8Ni6P8Y4,Y2Co4Ni3P4,P; Co; Ni; Y,4,1200,2,,natural,68915.0,orthorhombic,Pmn2_1,0.0004,semiconductor,-8859.0,-125.0,tension-capable; thermal-mass,"Cobalt — dust inhalation risk. Common in blue glazes.; Nickel — dust inhalation risk, skin sensitizer.",1
Co4La3Nd4Sn13,Co4La3Nd4Sn13,La3Nd4Co4Sn13,Co; Sn; La; Nd,4,1200,2,,natural,77186.0,tetragonal,P4/m,0.0053,semiconductor,-5908.0,-117.0,tension-capable; thermal-mass,Cobalt — dust inhalation risk. Common in blue glazes.,2
B2Cu1Mg3Ni6,B2Cu1Mg3Ni6,Mg3Cu(Ni3B)2,B; Mg; Ni; Cu,4,800,2,,natural,58969.0,trigonal,R-3m,0.0095,semiconductor,-3106.0,-188.0,tension-capable; thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",0
Al9Cu13,Al9Cu13,Al9Cu13,Al; Cu,2,800,,,natural,61038.0,monoclinic,C2/m,0.0018,semiconductor,-2213.0,-104.0,tension-capable; thermal-mass,[],0
Mn4P4Ti2V2,Mn4P4Ti2V2,TiMn2VP2,P; Ti; V; Mn,4,1200,2,,natural,60643.0,orthorhombic,Pmc2_1,0.002,semiconductor,-8828.0,-436.0,tension-capable; thermal-mass; refractory,Vanadium — some compounds toxic; V₂O₅ requires care.; Manganese — dust inhalation risk at high temps.,1
Se1Sn6Ti3Zr7,Se1Sn6Ti3Zr7,Zr7Ti3Sn6Se,Ti; Se; Zr; Sn,4,1200,2,,natural,72313.0,trigonal,P312,0.0052,semiconductor,-7108.0,-547.0,tension-capable; thermal-mass; refractory,Selenium — fumes toxic; good ventilation required.,1
Cu1Mg1Na6Se26,Cu1Mg1Na6Se26,Na6MgCuSe26,Na; Mg; Cu; Se,4,500,2,,natural,4156.0,triclinic,P-1,0.0048,semiconductor,-7187.0,-1152.0,[],Selenium — fumes toxic; good ventilation required.,1
Na4S28,Na4S28,NaS7,Na; S,2,250,2,,natural,16875.0,monoclinic,C2/c,0.6953,semiconductor,-5721.0,-1988.0,thermal-mass; electrically-functional; ecological,[],0
Ni6V1W1,Ni6V1W1,VNi6W,V; Ni; W,3,1200,2,,natural,105049.0,orthorhombic,Pmm2,,semiconductor,-1777.0,-61.0,thermal-mass; refractory,"Vanadium — some compounds toxic; V₂O₅ requires care.; Nickel — dust inhalation risk, skin sensitizer.",1
Bi5Pb1Ti10Zn2,Bi5Pb1Ti10Zn2,Ti10Zn2Bi5Pb,Ti; Zn; Pb; Bi,4,900,,,natural,8904.0,orthorhombic,Amm2,0.0026,semiconductor,-1857.0,-317.0,tension-capable; thermal-mass,"Lead — requires PPE, ventilation. Traditional in glazes.",1
Co18La1Nd1Si8,Co18La1Nd1Si8,LaNd(Co9Si4)2,Si; Co; La; Nd,4,1200,2,,natural,75044.0,tetragonal,I422,0.0007,semiconductor,-4597.0,-2.0,compression-strong; thermal-mass; refractory,Cobalt — dust inhalation risk. Common in blue glazes.,2
Ni1Sb5Ti10,Ni1Sb5Ti10,Ti10NiSb5,Ti; Ni; Sb,3,800,2,,natural,65728.0,tetragonal,I422,0.0058,semiconductor,-5663.0,-33.0,tension-capable; thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",1
La2Mg2Ni2Sn4,La2Mg2Ni2Sn4,LaMgNiSn2,Mg; Ni; Sn; La,4,800,4,,natural,64543.0,tetragonal,P4/nmm,0.0013,semiconductor,-5646.0,-362.0,tension-capable; thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.",1
Al2B4Ni10O20,Al2B4Ni10O20,AlNi5(BO5)2,B; O; Al; Ni,4,1200,2,,natural,50029.0,monoclinic,P2/m,,semiconductor,-19836.0,5.0,compression-strong; thermal-mass; colored-decorative; refractory,"Nickel — dust inhalation risk, skin sensitizer.",0
La5Mo2O12,La5Mo2O12,La5(MoO6)2,O; Mo; La,3,1000,4,,natural,59412.0,monoclinic,C2/m,0.0114,semiconductor,-33169.0,-58.0,thermal-mass; refractory,[],1
Mn1S16V9,Mn1S16V9,MnV9S16,S; V; Mn,3,150,2,,natural,40002.0,trigonal,P-3m1,0.0023,semiconductor,-12659.0,-463.0,thermal-mass,Vanadium — some compounds toxic; V₂O₅ requires care.; Manganese — dust inhalation risk at high temps.,1
Al4Mn1S8Zn1,Al4Mn1S8Zn1,MnAl4ZnS8,Al; S; Mn; Zn,4,750,1,,natural,31.0,cubic,F-43m,,semiconductor,-12686.0,7.0,thermal-insulator-potential,Manganese — dust inhalation risk at high temps.,0
Nd3Ni4P4Zr1,Nd3Ni4P4Zr1,Nd3Zr(NiP)4,P; Ni; Zr; Nd,4,1200,2,10,natural,69868.0,hexagonal,P-6m2,0.0064,semiconductor,-11604.0,-246.0,thermal-mass; refractory,"Nickel — dust inhalation risk, skin sensitizer.",1
Cu5La1Nd1Zn5,Cu5La1Nd1Zn5,LaNd(ZnCu)5,Cu; Zn; La; Nd,4,1100,,,natural,76619.0,orthorhombic,Pmmm,0.0042,semiconductor,-2839.0,-447.0,tension-capable; thermal-mass,[],2
Bi5Se1Sn1Zr10,Bi5Se1Sn1Zr10,Zr10SnBi5Se,Se; Zr; Sn; Bi,4,800,2,,natural,90946.0,monoclinic,Cm,0.0025,semiconductor,-5709.0,-6.0,thermal-mass,Selenium — fumes toxic; good ventilation required.,1
La16Na4Pb14Sn2,La16Na4Pb14Sn2,Na2La8SnPb7,Na; Sn; La; Pb,4,800,2,10,natural,75495.0,orthorhombic,Pmc2_1,,semiconductor,-573.0,-156.0,thermal-mass,"Lead — requires PPE, ventilation. Traditional in glazes.",2
Al6Ba10O1Si8Sr3,Al6Ba10O1Si8Sr3,Ba10Sr3Al6Si8O,O; Al; Si; Sr; Ba,5,1200,2,,natural,38434.0,monoclinic,Cm,,semiconductor,-5536.0,-135.0,compression-strong; thermal-mass; refractory,Barium — soluble barium compounds toxic; BaSO₄/BaCO₃ safer in glazes.,0
Bi6Nd1Sr6Y1,Bi6Nd1Sr6Y1,Sr6NdYBi6,Sr; Y; Nd; Bi,4,1200,,,natural,65705.0,triclinic,P1,0.4939,semiconductor,-912.0,-252.0,thermal-mass,[],2
La7Nd3O2Sn6,La7Nd3O2Sn6,La7Nd3(Sn3O)2,O; Sn; La; Nd,4,1000,2,,natural,65807.0,monoclinic,Cm,0.0012,semiconductor,-13482.0,-3.0,thermal-mass; colored-decorative,[],2
Nd12Ni4Pb1Si7,Nd12Ni4Pb1Si7,Nd12Si7Ni4Pb,Si; Ni; Nd; Pb,4,950,2,,natural,65842.0,monoclinic,Pm,0.0017,semiconductor,-6311.0,-184.0,compression-strong; thermal-mass,"Nickel — dust inhalation risk, skin sensitizer.; Lead — requires PPE, ventilation. Traditional in glazes.",2
La1Nd3O14Zr4,La1Nd3O14Zr4,LaNd3Zr4O14,O; Zr; La; Nd,4,900,4,5,natural,60575.0,trigonal,R-3m,,semiconductor,-38588.0,1.0,compression-strong; thermal-mass; colored-decorative,[],2
Bi2K5Sb4,Bi2K5Sb4,K5(BiSb2)2,K; Sb; Bi,3,800,2,,natural,37988.0,orthorhombic,Amm2,0.0134,semiconductor,-5195.0,-453.0,thermal-mass,[],1
Al1Co6Mo6,Al1Co6Mo6,Al(CoMo)6,Al; Co; Mo,3,800,2,,natural,93743.0,trigonal,R-3m,0.0074,semiconductor,-1363.0,-152.0,tension-capable; thermal-mass,Cobalt — dust inhalation risk. Common in blue glazes.,0
Al9Mn3Ni5Ti13,Al9Mn3Ni5Ti13,Ti13Mn3Al9Ni5,Al; Ti; Mn; Ni,4,800,2,,natural,50588.0,monoclinic,Cm,0.0005,semiconductor,-4742.0,-358.0,tension-capable; thermal-mass,"Manganese — dust inhalation risk at high temps.; Nickel — dust inhalation risk, skin sensitizer.",0
Co15Fe8Y6,Co15Fe8Y6,Y6Fe8Co15,Fe; Co; Y,3,1200,2,,natural,73871.0,trigonal,R3m,,semiconductor,-1575.0,-277.0,thermal-mass,Cobalt — dust inhalation risk. Common in blue glazes.,1
Co1Nb6S12V1,Co1Nb6S12V1,Nb6VCoS12,S; V; Co; Nb,4,1200,2,,natural,49366.0,trigonal,P312,0.0015,semiconductor,-13785.0,-4.0,thermal-mass,Vanadium — some compounds toxic; V₂O₅ requires care.; Cobalt — dust inhalation risk. Common in blue glazes.,2
Co1Mo5Ti4,Co1Mo5Ti4,Ti4CoMo5,Ti; Co; Mo,3,1200,2,,natural,79071.0,orthorhombic,Cmmm,0.0082,semiconductor,-2028.0,-192.0,tension-capable; thermal-mass; refractory,Cobalt — dust inhalation risk. Common in blue glazes.,0
Na4Se12V6,Na4Se12V6,Na2(VSe2)3,Na; V; Se,3,600,2,,natural,48374.0,trigonal,R32,,semiconductor,-10996.0,-14.0,thermal-mass,Vanadium — some compounds toxic; V₂O₅ requires care.; Selenium — fumes toxic; good ventilation required.,2
Co4Fe2Si10Zr4,Co4Fe2Si10Zr4,Zr2FeCo2Si5,Si; Fe; Co; Zr,4,1200,2,10,natural,59403.0,orthorhombic,Ibam,0.0062,semiconductor,-7019.0,-59.0,compression-strong; tension-capable; thermal-mass; refractory,Cobalt — dust inhalation risk. Common in blue glazes.,0
Al2Bi3Sb1Ti10,Al2Bi3Sb1Ti10,Ti10Al2Bi3Sb,Al; Ti; Sb; Bi,4,800,2,,natural,70941.0,orthorhombic,Fmm2,0.0034,semiconductor,-3245.0,-272.0,tension-capable; thermal-mass,[],1
Mg5Mn1Mo6O24,Mg5Mn1Mo6O24,Mg5Mn(MoO4)6,O; Mg; Mn; Mo,4,800,4,,natural,34379.0,triclinic,P1,3.0304,semiconductor,-23547.0,-2.0,thermal-mass; translucent-potential; colored-decorative; electrically-functional,Manganese — dust inhalation risk at high temps.,0
Bi2Na3Nd1Se6,Bi2Na3Nd1Se6,Na3Nd(BiSe3)2,Na; Se; Nd; Bi,4,800,2,,natural,55402.0,trigonal,P-3m1,,semiconductor,-1284.0,-11.0,thermal-mass,Selenium — fumes toxic; good ventilation required.,2
Bi9Mo3Nd1O24,Bi9Mo3Nd1O24,NdBi9(MoO8)3,O; Mo; Nd; Bi,4,800,2,,natural,73441.0,triclinic,P1,2.6301,semiconductor,-19654.0,-22.0,thermal-mass; translucent-potential; colored-decorative; electrically-functional,[],1
La6Na4Nd10Sn16,La6Na4Nd10Sn16,Na2La3Nd5Sn8,Na; Sn; La; Nd,4,800,2,,natural,63405.0,monoclinic,P2_1,,semiconductor,-7141.0,-241.0,thermal-mass,[],2
Ce4Co1Si6Zn1,Ce4Co1Si6Zn1,Ce4ZnCoSi6,Si; Co; Zn; Ce,4,1200,2,10,natural,59919.0,hexagonal,P-6m2,0.0011,semiconductor,-6569.0,-162.0,compression-strong; tension-capable; thermal-mass; refractory,Cobalt — dust inhalation risk. Common in blue glazes.,0
